 ano_publicacion_disco |                             titulo_disco                             | nombre_usuario  
                  2019 | Είμαι Το Σήμερα Κι Είσαι Το Χθες                                     | sergiofernández
                  1969 | Miracles Take Time                                                   | pedrodíaz
                  1995 | In Montreal                                                          | pedrodíaz
                  1988 | Jump In The River                                                    | javierfernández
                  1995 | Tranzient / Da Muzik                                                 | pedrodíaz
                  1995 | Tranzient / Da Muzik                                                 | martamoreno
                  1965 | Taste Of Honey / 3rd Man Theme                                       | pedrolópez
                  1966 | Spiritual Gospel                                                     | martadíaz
                  2014 | Dirk Wears White Sox                                                 | javiergómez
                  2014 | Dirk Wears White Sox                                                 | martadíaz
                  1957 | Mantovani Encores                                                    | martalópez
                  1996 | Cypher                                                               | pedrodíaz
                  1988 | Hand In Hand                                                         | pedrofernández
                  1973 | Полынь / Верба-Вербочка / Взрослые Дочери / Подкова                  | sergiofernández
                  2016 | G.O.D. EP - The Remixes                                              | sergiofernández
                     0 | A Strange Day E.P                                                    | luisgarcia
                  2019 | Business Free Music                                                  | sergiopérez
                  1987 | Live Across Australia                                                | javierfernández
                  1990 | Starring In...Standing In A Monkey Sea                               | martamoreno
                  1972 | The World Of Donovan                                                 | juangomez
                  1961 | Calcutta!                                                            | javiergómez
                  1961 | Calcutta!                                                            | sergiofernández
                  1961 | Calcutta!                                                            | juangomez
                  1984 | Mluví K Vám Robot                                                    | luisgarcia
                  2015 | Two Headed Dog / Song For A Deadly Mermaid                           | carlosfernández
                     0 | غيره \ وقف يا أسمر = Ghira / Wakef Ya Asmar                          | luisgarcia
                  1999 | Rotation (Spirit Remix)                                              | sergiofernández
                  2013 | Tant Pis Pour Eux !                                                  | luisgarcia
                  1989 | Rubbin' Me The Right Way                                             | juangomez
                  2002 | Birds Fly South                                                      | javiergómez
                  2002 | Birds Fly South                                                      | pedrofernández
                  2018 | The Dark Side Of The Mün                                             | sergiopérez
                  2001 | Thank You                                                            | pedrolópez
                  1995 | Dreams On Long Play                                                  | sergiopérez
                  1968 | Песни Г. Портнова                                                    | pedrodíaz
                  2001 | Live Young Die Fast E.P.                                             | martadíaz
                  1987 | Single Women                                                         | sergiofernández
                  2012 | Stay Another Day / White Heit                                        | pedrofernández
                  2012 | Demo 2009                                                            | sergiofernández
                  2012 | Demo 2009                                                            | juangomez
                     0 | Hot 'N' Heavy | Live At The Ascension Loft                           | martadíaz
                  1985 | Evil Game                                                            | sergiofernández
                  1995 | West Coast Girl                                                      | sergiofernández
                  2012 | Raw Nerves                                                           | pedrolópez
                  2022 | Trials & Errors                                                      | javiergómez
                  1971 | Un Grand Amour                                                       | luisgarcia
                  2009 | Fire (Burning) / Breakdown (2009 Re-Lick)                            | luisgarcia
                  2003 | The Fire Below                                                       | luisgarcia
                  1994 | Drum Tango                                                           | juangomez
                  1994 | On The Attack                                                        | javierfernández
                  1991 | The Rhythm                                                           | martadíaz
                     0 | Rougher Yet                                                          | analópez
                  1977 | Live! In The Air Age                                                 | analópez
                  1972 | Rockfish Crossing                                                    | sergiofernández
                  2019 | Young Baby Father                                                    | martamoreno
                  2004 | Sea Of Faces                                                         | pedrodíaz
                  1989 | Little Flecks Of Foam Around Barking                                 | martamoreno
                  1979 | Till Then / P.S. I Love You                                          | luisgarcia
                  1974 | Legends Of Rock, Vol. 2, Rare Items                                  | sergiofernández
                  1974 | Legends Of Rock, Vol. 2, Rare Items                                  | martadíaz
                  2018 | Relic                                                                | analópez
                  1994 | I Like It (I Like How You're Lov'in Me)                              | javierfernández
                  1976 | Gagaku & Beyond                                                      | pedrolópez
                  2008 | Way To Normal                                                        | juangomez
                  2007 | 5 Spot / Your World                                                  | javierfernández
                  1969 | Lay Lady Lay                                                         | sergiopérez
                  2014 | Absurd Reality / Flagging Water                                      | javierfernández
                  1983 | В Танцевальных Ритмах                                                | luisgarcia
                  2017 | Prove Your Love                                                      | sergiopérez
                  1997 | Plan Of Action                                                       | sergiopérez
                  1979 | Walk On... / Travelling                                              | luisgarcia
                  2016 | ATXTA E.P.                                                           | martadíaz
                  1986 | The Oak Tree Rapp                                                    | javiergómez
                  2015 | VI                                                                   | juangomez
                  2015 | II                                                                   | martamoreno
                  1978 | Suspect                                                              | analópez
                  1982 | Shout! Shout! (Knock Yourself Out)                                   | pedrolópez
                     0 | A. Decap - Sound Non-Stop Dancing Volume 7                           | martadíaz
                  2003 | I Am Kloot                                                           | javiergómez
                  1998 | A New Day                                                            | pedrodíaz
                  1995 | The Music Of The Grand Canyon                                        | martamoreno
                  2015 | Deathkult Sutra                                                      | analópez
                  2015 | The Town Where a Star Falls                                          | juangomez
                  2001 | Spundae Presents Interpretations II                                  | juangomez
                  2008 | Boot Scootin' Boogie / Lost And Found                                | javierfernández
                  2005 | ...Verendeten Blickes                                                | javierfernández
                  1977 | Goin' To L.A.                                                        | javierfernández
                  1988 | Affair                                                               | javierfernández
                  1987 | Assassin Of Love                                                     | pedrolópez
                  1985 | Wake Up                                                              | javiergómez
                  2000 | Tonight Or Never                                                     | juangomez
                  1967 | Kilimandjaro / Les Trois Dernières Minutes                           | javiergómez
                  2011 | Brown Flag                                                           | javierfernández
                  2000 | Live At The Palace                                                   | martadíaz
                  1998 | Too Much                                                             | martamoreno
                  1977 | Raw Meat                                                             | pedrodíaz
                  1978 | Hot! Hot!                                                            | martamoreno
                  1996 | Cleanhead Blues                                                      | sergiofernández
                  1988 | Years Not Living                                                     | javiergómez
                  1984 | Finesse                                                              | pedrolópez
                  1999 | Il Faudrait Leur Dire...                                             | pedrofernández
                  1994 | Adult Crash                                                          | sergiopérez
                  2016 | Mount Zion                                                           | pedrodíaz
                  1987 | Народни Бисери                                                       | pedrolópez
                  2002 | Mega                                                                 | pedrolópez
                  1970 | Home To You                                                          | martamoreno
                  1970 | Home To You                                                          | juangomez
                  2016 | Jazz-Liisa 2                                                         | analópez
                  2013 | Play Boy / Your Love                                                 | martadíaz
                  1997 | Surface EP                                                           | javierfernández
                  1992 | Attack                                                               | martamoreno
                  2001 | Ballin’ Boy                                                          | martamoreno
                  1973 | Kootch                                                               | juangomez
                  2017 | Neon Music                                                           | luisgarcia
(162 rows)

INSERT 0 288
INSERT 0 1459
ROLLBACK
